strain	virus	accession	date	region	country	division	city	db	segment	authors	url	title	journal	paper_url
AF196532	west nile	AF196532	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/AF196532	?	?	?
AF317203	west nile	AF317203	XXXX-XX-XX	Asia	Russian Federation	Volgograd	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/AF317203	?	?	?
AF380665	west nile	AF380665	XXXX-XX-XX	Asia	Israel	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/AF380665	?	?	?
AF385220	west nile	AF385220	XXXX-XX-XX	North America	United States (USA)	 New Britain	 New Britain	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/AF385220	?	?	?
AF385247	west nile	AF385247	XXXX-XX-XX	North America	United States (USA)	 Stamford	 Stamford	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/AF385247	?	?	?
AF385263	west nile	AF385263	XXXX-XX-XX	North America	United States (USA)	 Greenwich	 Greenwich	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/AF385263	?	?	?
AF412272	west nile	AF412272	XXXX-XX-XX	Asia	Russian Federation	 Volgograd	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/AF412272	?	?	?
AJ965627	west nile	AJ965627	XXXX-XX-XX	Europe	Portugal	southern Portugal	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/AJ965627	?	?	?
AX552590	west nile	AX552590	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/AX552590	?	?	?
AY187012	west nile	AY187012	XXXX-XX-XX	North America	United States (USA)	 TX	 TX	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/AY187012	?	?	?
AY187015	west nile	AY187015	XXXX-XX-XX	North America	United States (USA)	 TX	 TX	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/AY187015	?	?	?
AY429629	west nile	AY429629	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/AY429629	?	?	?
AY590234	west nile	AY590234	XXXX-XX-XX	North America	United States (USA)	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/AY590234	?	?	?
CQ871188	west nile	CQ871188	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/CQ871188	?	?	?
CS568918	west nile	CS568918	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/CS568918	?	?	?
DJ016184	west nile	DJ016184	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/DJ016184	?	?	?
