strain	virus	accession	date	region	country	division	city	db	segment	authors	url	title	journal	paper_url
EU545988	zika	EU545988	2007-06-XX	Oceania	Micronesia	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/EU545988	?	?	?
KF383052	zika	KF383052	2002-XX-XX	Africa	Senegal	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KF383052	?	?	?
KF383067	zika	KF383067	1997-XX-XX	Africa	Senegal	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KF383067	?	?	?
KF383071	zika	KF383071	1999-XX-XX	Africa	Cote d'Ivoire	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KF383071	?	?	?
KJ634273	zika	KJ634273	2014-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KJ634273	?	?	?
KM078944	zika	KM078944	2014-03-30	South America	Chile	Easter Island	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KM078944	?	?	?
KR816333	zika	KR816333	2015-05-XX	South America	Brazil	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KR816333	?	?	?
KR816334	zika	KR816334	2015-05-XX	South America	Brazil	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KR816334	?	?	?
KU758876	zika	KU758876	2015-12-XX	South America	Suriname	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KU758876	?	?	?
KX856011	zika	KX856011	2016-01-01	North America	Mexico	Chiapas	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KX856011	?	?	?
KX906953	zika	KX906953	2016-08-31	Asia	Malaysia	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KX906953	?	?	?
KY241705	zika	KY241705	2016-08-30	Asia	Singapore	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY241705	?	?	?
KY241714	zika	KY241714	2016-08-28	Asia	Singapore	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY241714	?	?	?
KY241729	zika	KY241729	2016-08-29	Asia	Singapore	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY241729	?	?	?
KY241739	zika	KY241739	2016-08-28	Asia	Singapore	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY241739	?	?	?
KY241750	zika	KY241750	2016-08-28	Asia	Singapore	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY241750	?	?	?
KY241772	zika	KY241772	2016-08-30	Asia	Singapore	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY241772	?	?	?
KY317938	zika	KY317938	2016-01-10	South America	Colombia	?	?	ENA	genome	Antibody Systems Inc	https://www.ebi.ac.uk/ena/browser/view/KY317938	?	?	?
KY325466	zika	KY325466	2016-07-28	North America	United States (USA)	Florida	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY325466	?	?	?
KY559001	zika	KY559001	2015-08-20	South America	Brazil	 Alagoas	 Alagoas	ENA	genome	ZiBRA team	https://www.ebi.ac.uk/ena/browser/view/KY559001	?	?	?
KY765318	zika	KY765318	2016-07-10	North America	Nicaragua	Managua	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/KY765318	?	?	?
KY785415	zika	KY785415	2016-04-11	North America	Dominican Republic	Distrito Nacional	?	ENA	genome	Hospital General de la Plaza de la Salud,	https://www.ebi.ac.uk/ena/browser/view/KY785415	?	?	?
KY785457	zika	KY785457	2016-08-01	North America	United States (USA)	Florida	?	ENA	genome	Florida Department of Health, Florida, USA	https://www.ebi.ac.uk/ena/browser/view/KY785457	?	?	?
KY785479	zika	KY785479	2016-03-30	South America	Brazil	Rio de Janeiro	?	ENA	genome	Hospital Quinta D'Or, Rio de Janeiro,	https://www.ebi.ac.uk/ena/browser/view/KY785479	?	?	?
LC191864	zika	LC191864	2016-04-21	Asia	Japan	Chiba	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LC191864	?	?	?
LP833793	zika	LP833793	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LP833793	?	?	?
LP940731	zika	LP940731	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LP940731	?	?	?
LP981794	zika	LP981794	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LP981794	?	?	?
LQ868297	zika	LQ868297	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LQ868297	?	?	?
LY683289	zika	LY683289	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/LY683289	?	?	?
MF098767	zika	MF098767	2016-07-25	Asia	Russian Federation	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF098767	?	?	?
MF434522	zika	MF434522	2016-08-29	North America	Nicaragua	Managua	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF434522	?	?	?
MF574564	zika	MF574564	2015-12-XX	South America	Colombia	Barranquilla	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF574564	?	?	?
MF801402	zika	MF801402	2016-05-26	North America	Mexico	Chiapas	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF801402	?	?	?
MF801406	zika	MF801406	2016-07-07	North America	Mexico	Oaxaca	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF801406	?	?	?
MF801410	zika	MF801410	2016-07-05	North America	Mexico	Guerrero	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF801410	?	?	?
MF801416	zika	MF801416	2016-07-XX	North America	Mexico	Guerrero	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF801416	?	?	?
MF801419	zika	MF801419	2016-07-01	North America	Mexico	Chiapas	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MF801419	?	?	?
MG645981	zika	MG645981	2006-10-28	Asia	Thailand	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MG645981	?	?	?
MH061878	zika	MH061878	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH061878	?	?	?
MH061881	zika	MH061881	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH061881	?	?	?
MH061906	zika	MH061906	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH061906	?	?	?
MH061912	zika	MH061912	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH061912	?	?	?
MH061915	zika	MH061915	XXXX-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH061915	?	?	?
MH718915	zika	MH718915	2013-01-10	Asia	Russian Federation	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH718915	?	?	?
MH882539	zika	MH882539	2016-07-19	South America	Brazil	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH882539	?	?	?
MH882545	zika	MH882545	2016-05-19	South America	Brazil	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MH882545	?	?	?
MK028555	zika	MK028555	2017-08-03	Asia	Thailand	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MK028555	?	?	?
MK216690	zika	MK216690	2016-03-18	South America	Brazil	 Amazonas	 Amazonas	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MK216690	?	?	?
MK216720	zika	MK216720	2016-01-25	South America	Brazil	 Amazonas	 Amazonas	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MK216720	?	?	?
MK237997	zika	MK237997	2017-XX-XX	Asia	Thailand	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MK237997	?	?	?
MK269355	zika	MK269355	2016-09-02	North America	United States (USA)	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MK269355	?	?	?
MN170710	zika	MN170710	2018-03-07	South America	Brazil	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MN170710	?	?	?
MN755619	zika	MN755619	2013-XX-XX	?	?	?	?	ENA	genome	-	https://www.ebi.ac.uk/ena/browser/view/MN755619	?	?	?
